date,ticker,atm_iv,put_skew_mean,call_skew_mean,put_skew_max,call_skew_max,n_puts,n_calls
2026-06-16,AAPL,21.97,6.18,11.35,8.78,23.64,13,14
2026-06-16,QQQ,24.44,7.71,7.29,17.61,14.48,104,45
2026-06-16,SPY,14.94,7.75,8.03,14.62,10.71,254,53
2026-06-16,TSLA,42.66,6.17,6.67,7.83,9.39,4,5
2026-06-18,AAPL,22.86,6.16,9.34,7.99,16.27,8,9
2026-06-18,GLD,23.14,6.01,28.94,11.0,136.1,22,16
2026-06-18,NVDA,37.2,6.16,7.8,7.67,13.94,4,11
2026-06-18,QQQ,24.11,7.5,7.77,14.65,14.77,114,37
2026-06-18,SPY,14.32,8.2,10.72,16.98,27.3,286,116
2026-06-18,TSLA,45.17,5.93,7.93,7.09,14.39,4,9
2026-06-19,AAPL,22.51,6.66,11.06,9.09,18.83,9,10
2026-06-19,GLD,24.09,6.83,36.22,10.35,137.83,20,12
2026-06-19,NVDA,36.57,6.55,6.05,7.08,6.78,2,3
2026-06-19,QQQ,24.38,7.35,6.58,14.39,10.43,118,37
2026-06-19,SPY,14.37,8.2,10.85,17.06,29.43,341,144
2026-06-19,TSLA,42.56,5.11,5.94,5.11,6.31,1,2
2026-06-22,AAPL,26.13,4.54,12.95,7.47,29.59,8,15
2026-06-22,GLD,23.2,7.02,48.03,12.74,128.21,17,15
2026-06-22,NVDA,41.68,3.63,9.96,9.27,17.43,10,12
2026-06-22,QQQ,23.32,7.65,7.1,15.72,27.03,115,65
2026-06-22,SPY,14.71,8.51,11.26,17.19,35.03,262,149
2026-06-22,TSLA,40.52,2.59,9.67,10.97,20.0,19,13
